scenario_id,platform,result,artifact_link,defect_id
LGN-01,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-IOS-MAC-DEVICE-EVIDENCE
LGN-02,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-IOS-MAC-DEVICE-EVIDENCE
LGN-03,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-IOS-MAC-DEVICE-EVIDENCE
LGN-04,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-IOS-MAC-DEVICE-EVIDENCE
QR-01,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-IOS-MAC-DEVICE-EVIDENCE
QR-02,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-IOS-MAC-DEVICE-EVIDENCE
QR-03,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-IOS-MAC-DEVICE-EVIDENCE
SCN-01,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/ios/device-scenarios.md,BLK-IOS-MAC-DEVICE-EVIDENCE
SCN-02,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/ios/device-scenarios.md,BLK-IOS-MAC-DEVICE-EVIDENCE
SCN-03,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/ios/device-scenarios.md,BLK-IOS-MAC-DEVICE-EVIDENCE
SCN-04,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/ios/device-scenarios.md,BLK-IOS-MAC-DEVICE-EVIDENCE
SCN-05,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/ios/device-scenarios.md,BLK-IOS-MAC-DEVICE-EVIDENCE
SYNC-01,Android+iOS,PARTIAL_AUTOMATED_ONLY,qa/gates/2026-02-27-final/logs/backend-test.log,BLK-MANUAL-REGRESSION-PENDING
SYNC-02,Android+iOS,PARTIAL_AUTOMATED_ONLY,qa/gates/2026-02-27-final/logs/backend-test.log,BLK-MANUAL-REGRESSION-PENDING
SYNC-03,Android+iOS,PARTIAL_AUTOMATED_ONLY,qa/gates/2026-02-27-final/logs/backend-test.log,BLK-MANUAL-REGRESSION-PENDING
SYNC-04,Android+iOS,PARTIAL_AUTOMATED_ONLY,qa/gates/2026-02-27-final/logs/backend-test.log,BLK-MANUAL-REGRESSION-PENDING
SYNC-05,Android+iOS,PARTIAL_AUTOMATED_ONLY,qa/gates/2026-02-27-final/logs/backend-test.log,BLK-MANUAL-REGRESSION-PENDING
REGU-01,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-MANUAL-REGRESSION-PENDING
REGU-02,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-MANUAL-REGRESSION-PENDING
REGU-03,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-MANUAL-REGRESSION-PENDING
REGU-04,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-MANUAL-REGRESSION-PENDING
REGU-05,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-MANUAL-REGRESSION-PENDING
REGU-06,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-MANUAL-REGRESSION-PENDING
REGG-01,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-MANUAL-REGRESSION-PENDING
REGG-02,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-MANUAL-REGRESSION-PENDING
REGG-03,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-MANUAL-REGRESSION-PENDING
REGG-04,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-MANUAL-REGRESSION-PENDING
CUR-01,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-MANUAL-REGRESSION-PENDING
CUR-02,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-MANUAL-REGRESSION-PENDING
CUR-03,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-MANUAL-REGRESSION-PENDING
CUR-04,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-MANUAL-REGRESSION-PENDING
CUR-05,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-MANUAL-REGRESSION-PENDING
CUR-06,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-MANUAL-REGRESSION-PENDING
ADM-01,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-MANUAL-REGRESSION-PENDING
ADM-02,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-MANUAL-REGRESSION-PENDING
ADM-03,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-MANUAL-REGRESSION-PENDING
ADM-04,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-MANUAL-REGRESSION-PENDING
ADM-05,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-MANUAL-REGRESSION-PENDING
PAR-01,Android+iOS,NOT_EXECUTED_MANUAL,qa/gates/2026-02-27-final/report.md,BLK-MANUAL-REGRESSION-PENDING
PAR-02,Android+iOS,PASS_STATIC_PARITY,qa/gates/2026-02-27-final/parity/endpoints_old_vs_new.csv,
PAR-03,Android+iOS,PASS_STATIC_PARITY,qa/gates/2026-02-27-final/parity/screens_old_vs_new.csv,
